ÁREA,CARRERA,CIUDAD,AÑO,TIPO DE EDUCACIÓN,MATRICULADOS HOMBRES,MATRICULADOS MUJERES,NUEVOS HOMBRES,NUEVOS MUJERES,TITULADOS HOMBRES,TITULADOS MUJERES
CIENCIAS DE LA SALUD,MEDICINA,BENI,2007,PUBLICA,0,0,0,0,0,0
CIENCIAS DE LA SALUD,ODONTOLOGIA,BENI,2007,PRIVADA,0,0,0,0,0,0
CIENCIAS SOCIALES,ARQUEOLOGIA,LA PAZ,2011,PRIVADA,0,0,0,0,0,0
OTROS OFICIOS,ORDEN Y SEGURIDAD,LA PAZ,2011,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA SALUD,MEDICINA,TARIJA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS DE LA SALUD,ODONTOLOGIA,BENI,2002,PRIVADA,0,0,0,0,0,0
"ARQUITECTURA, URBANISMO Y ARTE",ARQUITECTURA Y URBANISMO,BENI,2001,PRIVADA,64,31,46,20,2,1
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,INGENIERIA AGRONOMICA,BENI,2001,PUBLICA,205,83,96,12,15,1
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,INGENIERIA AGROPECUARIA,BENI,2001,PUBLICA,105,35,82,44,0,0
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,INGENIERIA FORESTAL,BENI,2001,PUBLICA,242,97,82,46,3,2
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,MEDICINA VETERINARIA Y ZOOTECNIA,BENI,2001,PUBLICA,357,82,136,24,40,9
CIENCIAS DE LA COMUNICACION,CIENCIAS DE LA COMUNICACION,BENI,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA COMUNICACION,CIENCIAS DE LA COMUNICACION SOCIAL,BENI,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS DE LA COMUNICACION,RELACIONES PUBLICAS,BENI,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,CIENCIAS DE LA EDUCACION,BENI,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,CIENCIAS DE LA EDUCACION,BENI,2001,PUBLICA,104,257,86,118,2,14
CIENCIAS DE LA EDUCACION Y HUMANIDADES,EDUCACION INTERCULTURAL,BENI,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,GESTION DE TURISMO,BENI,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,PEDAGOGIA,BENI,2001,PUBLICA,214,458,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,PEDAGOGIA (CURSO COMPLEMENTARIO PARA DOCENTES EN SERVICIO),BENI,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,TURISMO,BENI,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS DE LA SALUD,BIOQUIMICA Y FARMACIA,BENI,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS DE LA SALUD,ENFERMERIA,BENI,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA SALUD,ENFERMERIA,BENI,2001,PUBLICA,44,416,20,176,6,15
CIENCIAS DE LA SALUD,MEDICINA,BENI,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS DE LA SALUD,ODONTOLOGIA,BENI,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,ADMINISTRACION DE EMPRESAS,BENI,2001,PRIVADA,4,3,0,0,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,ADMINISTRACION DE EMPRESAS,BENI,2001,PUBLICA,301,223,112,86,31,13
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,AUDITORIA,BENI,2001,PRIVADA,46,47,0,0,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,COMERCIO INTERNACIONAL,BENI,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,CONTADURIA PUBLICA,BENI,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,CONTADURIA PUBLICA,BENI,2001,PUBLICA,403,404,158,184,5,3
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,ECONOMIA,BENI,2001,PUBLICA,331,217,102,74,3,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,INGENIERIA COMERCIAL,BENI,2001,PRIVADA,70,28,40,26,0,0
CIENCIAS SOCIALES,DERECHO,BENI,2001,PRIVADA,132,101,24,16,6,2
CIENCIAS SOCIALES,DERECHO,BENI,2001,PUBLICA,311,217,230,194,0,0
CIENCIAS SOCIALES,RELACIONES INTERNACIONALES,BENI,2001,PRIVADA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA CIVIL,BENI,2001,PUBLICA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA DE SISTEMAS,BENI,2001,PRIVADA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA DE SISTEMAS,BENI,2001,PUBLICA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA DE SISTEMAS INFORMATICOS,BENI,2001,PRIVADA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA DE SISTEMAS INFORMATICOS,BENI,2001,PRIVADA,0,0,0,0,0,0
"ARQUITECTURA, URBANISMO Y ARTE",ARQUITECTURA,CHUQUISACA,2001,PRIVADA,152,35,36,12,4,2
"ARQUITECTURA, URBANISMO Y ARTE",ARQUITECTURA,CHUQUISACA,2001,PUBLICA,483,231,80,40,7,4
"ARQUITECTURA, URBANISMO Y ARTE",ARTE Y DISEÑO GRAFICO,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,ADMINISTRACION AGROPECUARIA,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,AGRONOMIA,CHUQUISACA,2001,PRIVADA,3,0,0,0,3,0
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,INGENIERIA AGROFORESTAL,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,INGENIERIA AGROINDUSTRIAL,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,INGENIERIA AGRONOMICA,CHUQUISACA,2001,PUBLICA,279,39,29,4,71,9
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,INGENIERIA DEL DESARROLLO RURAL,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,INGENIERIA ZOOTECNICA,CHUQUISACA,2001,PUBLICA,117,31,37,15,31,7
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,VETERINARIA,CHUQUISACA,2001,PRIVADA,40,0,13,0,1,0
CIENCIAS DE LA COMUNICACION,CIENCIAS DE LA COMUNICACION SOCIAL,CHUQUISACA,2001,PUBLICA,247,245,110,97,16,29
CIENCIAS DE LA EDUCACION Y HUMANIDADES,ADMINISTRACION DE HOTELERIA Y TURISMO,CHUQUISACA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,ESTUDIOS INTERCULTURALES,CHUQUISACA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,HISTORIA,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,IDIOMAS,CHUQUISACA,2001,PUBLICA,49,296,25,74,1,22
CIENCIAS DE LA EDUCACION Y HUMANIDADES,PEDAGOGIA,CHUQUISACA,2001,PUBLICA,108,299,28,91,4,23
CIENCIAS DE LA EDUCACION Y HUMANIDADES,PSICOLOGIA,CHUQUISACA,2001,PRIVADA,48,71,6,12,1,1
CIENCIAS DE LA EDUCACION Y HUMANIDADES,PSICOLOGIA,CHUQUISACA,2001,PUBLICA,75,203,46,100,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,TEOLOGIA,CHUQUISACA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,TURISMO,CHUQUISACA,2001,PUBLICA,48,153,13,41,5,31
CIENCIAS DE LA SALUD,BIOIMAGENOLOGIA,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS DE LA SALUD,BIOQUIMICA,CHUQUISACA,2001,PUBLICA,142,1231,46,186,8,181
CIENCIAS DE LA SALUD,ENFERMERIA,CHUQUISACA,2001,PUBLICA,1,505,1,46,0,130
CIENCIAS DE LA SALUD,FISIOTERAPIA Y KINESIOLOGIA,CHUQUISACA,2001,PUBLICA,148,187,44,25,36,57
CIENCIAS DE LA SALUD,LABORATORIO CLINICO,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS DE LA SALUD,MEDICINA,CHUQUISACA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA SALUD,MEDICINA,CHUQUISACA,2001,PUBLICA,2118,1611,146,106,291,151
CIENCIAS DE LA SALUD,NUTRICION Y DIETETICA,CHUQUISACA,2001,PUBLICA,47,25,38,19,0,0
CIENCIAS DE LA SALUD,ODONTOLOGIA,CHUQUISACA,2001,PUBLICA,1025,1035,97,107,114,116
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,ADMINISTRACION DE EMPRESAS,CHUQUISACA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,ADMINISTRACION DE EMPRESAS,CHUQUISACA,2001,PUBLICA,560,452,110,76,30,22
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,ADMINISTRACION FINANCIERA,CHUQUISACA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,ADMINISTRACION FINANCIERA,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,COMERCIO INTERNACIONAL,CHUQUISACA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,CONTADURIA PUBLICA,CHUQUISACA,2001,PUBLICA,671,996,104,179,63,101
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,CONTADURIA Y AUDITORIA DE SISTEMAS,CHUQUISACA,2001,PRIVADA,74,75,21,10,11,5
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,ECONOMIA,CHUQUISACA,2001,PUBLICA,239,148,47,28,26,15
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,GESTION PUBLICA,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,INGENIERIA COMERCIAL,CHUQUISACA,2001,PRIVADA,169,80,48,31,10,6
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,INGENIERIA COMERCIAL,CHUQUISACA,2001,PUBLICA,187,212,116,131,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,MARKETING Y PUBLICIDAD,CHUQUISACA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS SOCIALES,DERECHO,CHUQUISACA,2001,PRIVADA,62,33,25,7,2,2
CIENCIAS SOCIALES,DERECHO,CHUQUISACA,2001,PUBLICA,1664,1552,250,219,110,91
CIENCIAS SOCIALES,SOCIOLOGIA,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS SOCIALES,TRABAJO SOCIAL,CHUQUISACA,2001,PRIVADA,3,69,2,23,0,2
CIENCIAS SOCIALES,TRABAJO SOCIAL,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,ADMINISTRACION DE SISTEMAS DE INFORMACION,CHUQUISACA,2001,PRIVADA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,INFORMATICA,CHUQUISACA,2001,PRIVADA,0,0,0,0,1,2
